LibraryName	DBS-ID	RS	OCLCRegistry	OCLC	LibraryID
Bibliothek Wäschenbeuren	WB731	81175005053			207828
Bibliothek Zeven	HD268	33575408057			203742
Bibliothek Zinnowitz	MB403	130755561151			203261
Bibliothek, Information & Dokumentation					65455
Bibliothek/Mediothek im Kreis-Berufsschulzentrum Biberach	GL841	84265003021			209296
Bibliotheken der Gemeinde Bördeland	UD463	150890042042			204687
Bibliotheken der Goethe-Institute					199933
Bibliotheks- und Informationssystem der Carl von Ossietzky Universität Oldenburg					193130
Bibliotheks- und Informationszentrum des Landkreises in Hösbach (Schulzentrum)	JC737	96710130130			206959
Bibliotheks- und Informationszentrum Haßfurt	GQ433	96740147147			210225
Bibliotheksservice-Zentrum Baden-Wuerttemberg					43839
Bibliotheksverband Mittel- und Oberfranken e. V.		95640000000			209440
Bibliotheksverein Penkun e.V.	WG664	130755556107			203251
Bibliothekszentrum Bergen-Enkheim					42130
Bibliothekszentrum Höchst					42131
Bibliothekszentrum Klosterbau	AE283	64400008008			206813
Bibliothekszentrum Sachsenhausen					42132
Bibliotheque francaise de Spire e.V.	FR346	73180000000			207400
Biblitohek im St. Antoniusheim	QP163	55540068068			205474
Bildungshaus Bonifacius Amerbach Stadtbibliothek Neuenburg am Rhein	HA383	83150076076			208423
Bildungslücke e.V. /Bibliothek	JE775	160530000000			202829
Bildungswerk der Erzdiözese Freiburg, Fachbereich Kirchliches Büchereiwesen	XY717	83110000000			208364
Bildungswerk der Evangelische-Luth. Kirche in Oldenburg. Büchereifachstelle	XY614	34030000000			203568
Bildungszentrum Landkreis Wolfenbüttel - Bücherei	LE538	31580037037			204616
Birkenbücherei. Evangelische Öffentliche Gemeindebücherei Friedenskirche	TL890	94620000000			209997
Bischof-Nausea-Bücherei	NW683	94720197197			209558
Bischöfliches Generalvikariat Strategiebereich 3: Kommunikation und Medien Arbeitsbereich 3.3: Medienkompetenz/ Büchereiarbeit	XY870	72110000000			206181
Bischöfliches Generalvikariat, Fachstelle Büchereien	XY791	55150000000			205303
Bischöfliches Ordinariat Fachstelle für Büchereiarbeit Limburg	XY754	65330007007			207157
Bischöfliches St.-Josef-Gymnasium, Bibliothek		55540008008			205162
Bitburg AB, GE Library					61792
BockenheimBibliothek					42133
BONA Stadtbibliothek Perleberg	WA352	120700296296			203319
Bonhoeffer-Bücherei Badbergen	NS232	34595401007			205623
Bonn International School Media Centre					196498
Bonnus-Bücherei Osnabrück	RL155	34040000000			205496
Borromä-Bücherei Glottertal	HG944	83155013041			208399
Brandenburg State Police Academy and College Library					210620
Brandenburg University of Police Library					200977
Braunschweig Library University					36908
Bretzfelder Bücherei	LR551	81260011011			207978
Brigitte-Reimann-Stadtbibliothek	GB692	146250240240			202541
Brunold-Bibliothek Joachimsthal	WC506	120605006100			203177
Brüderkrankenhaus St. Josef Patientenbücherei	BE596	57740032032			204077
Buch - und Medienausleihstelle	WD146	150910110110			202769
Buchausleihe Pretzsch	PR069	150910020020			202789
Burg-Bücherei Wettin	WK781	150880216216			202685
Burkhart-Gymnasium Mallersdorf-Pfaffenberg, Schulbibliothek		92780148148			208745
Bücher-Wichtel Schul- und Gemeindebücherei Sterzhausen	KK750	65340012012			204300
Bücherbus e.V. im Landkreis Uelzen	LA739	33600025025			203822
Bücherdiele Hammelwarden	NP668	34610002002			203697
Bücherdreieck Bad Füssing	NA842	92750116116			209836
Bücherei Libelle Geisingen	GS781	83275003018			208304
Bücherei Aach	JP750	82375001019			207724
Bücherei Abbensen	KT153	31570001001			203936
Bücherei Ahnsbeck	AH293	33515403002			203807
Bücherei Alexianer Krankenhaus. Haus Kannen. Amelsbüren	QW815	55150000000			205333
Bücherei Altbach	KQ644	81165006004			207915
Bücherei Altenholz	LL139	10580005005			203462
Bücherei am Amtshof	LE526	32515401023			205572
Bücherei am Dom	QY800	97610000000			208985
Bücherei am Marktplatz Hengersberg	QJ074	92710125125			209937
Bücherei am Münztor Schongau	SM003	91900148148			209132
Bücherei am Park	GW595	82350065065			208072
Bücherei am Rathausplatz	HG166	33550001001			203349
Bücherei am Schloßplatz	TD123	94730158158			210109
Bücherei am Stadtpark	AA241	94770128128			209990
Bücherei an der Johanneskirche	SC757	64340001001			206834
Bücherei Aspach	GF430	81195001087			207628
Bücherei Aufhausen	AH930	93755338115			209749
Bücherei Bad Schmiedeberg	UN156	150910020020			202791
Bücherei Benningen	KQ735	81185005006			207654
Bücherei Benrath					61132
Bücherei Bergwitz	UG816	150910160160			202786
Bücherei Bernbeuren	BE869	91905175114			209136
Bücherei Biebertal	JS556	65310002002			204348
Bücherei Biessenhofen	HB582	97775752112			209175
Bücherei Bilk					61133
Bücherei Bingen		73390005005			206312
Bücherei Binsbach	BB547	96770114114			210240
Bücherei Bischofsheim	HB867	64330002002			207129
Bücherei Bissendorf	KJ320	34590012012			205510
Bücherei Brombach	BB795	83365003050			208434
Bücherei Böbing	BG823	91905178117			208582
Bücherei Böhringen	BO725	84155005088			207780
Bücherei Deggingen	GU992	81175001014			207846
Bücherei Deizisau	KQ474	81165006014			207916
Bücherei Denkendorf	KQ486	81160015015			207913
Bücherei der Evangelische -luth. Kapellengemeinde Herzlake	QN419	34545403021			205667
Bücherei der Evangelische Kirchengemeinde	TJ376	64320016016			207034
Bücherei der Evangelische Kirchengemeinde Gerhausen	NH101	84255002020			209358
Bücherei der Evangelische Kirchengemeinde Saasen in Zusammenarbeit mit der Freiwilligen Feuerwehr Saasen	QT806	65310016016			204352
Bücherei der Evangelische Saalkirchengemeinde	TH864	73390030030			206269
Bücherei der Evangelische Seelsorge in der Jugendanstalt	RS428	51200000000			204945
Bücherei der Evangelische-luth. Christuskirchengemeinde Brögbern	RK966	34540032032			205679
Bücherei der Evangelische-luth. Friedenskirche	HH675	32540002002			203901
Bücherei der Evangelische-luth. Kirchengemeinde Fuhrberg	NN482	32410004004			203875
Bücherei der Evangelische-luth. Kirchengemeinde Nortrup-Loxten	RP144	34595401028			205625
Bücherei der Evangelische-luth. Kirchengemeinde Vehrte	KD826	34590008008			205526
Bücherei der Evangelische-luth. Matthias-Claudius-Gemeinde	NN858	32410010010			203862
Bücherei der Fachakademie für Sozialpädagogik des Caritasverbandes Erlangen	FS910	95620000000			209501
Bücherei der Gemeinde Salem	GS090	84355005052			209340
Bücherei der Gemeinde und katholischen Kirchengemeinde St. Jakobus	HA002	83175010122			208242
Bücherei der Justizvollzugsanstalt	CS547	91810130130			209119
Bücherei der Kinderklinik	AA602	53820056056			206107
Bücherei der Martin-Luther-Gemeinde	RN905	32520006006			203993
Bücherei der Martin-Luther-Gemeinde	TL129	64380006006			206865
Bücherei der Samtgemeinde	HG324	33535406035			203338
Bücherei der Samtgemeinde	KS902	32545406043			203898
Bücherei der Samtgemeinde	KS914	32545406043			203899
Bücherei der Samtgemeinde	LG092	32540044044			203930
Bücherei der Samtgemeinde im Ortsteil Deilmissen	LG171	32545406013			203900
Bücherei der Stadt Eichstätt und des St. Michaelbundes	PA781	91760123123			208849
Bücherei der Verbandsgemeinde Eisenberg	GB102	73335002019			207392
Bücherei der VG Grub a. Forst	JQ031	94735418134			210093
Bücherei der ÖKH des Heidekreises-Klinikums Soltau	XX821	33580021021			203832
Bücherei Derendorf					61134
Bücherei des gemeindefreien Bezirks Lohheide	LK834	33519501501			203799
Bücherei des Gemeindezentrums St. Johannes	NR057	32410021021			203959
Bücherei des Pflegezentrums Bethanien	PG928	81110000000			207567
Bücherei des St.-Elisabeth-Hospitals	PB712	55660056056			205585
Bücherei Egringen	LR423	83360014014			208439
Bücherei Ehningen	KQ577	81155002013			207597
Bücherei Elbmarsch	TJ741	33535401023			203361
Bücherei Elbmarsch	TJ741	33535401023			203360
Bücherei Eller					61135
Bücherei Essenbach	NF840	92740128128			208742
Bücherei Flingern					61136
Bücherei Freystadt	QS632	93730126126			209667
Bücherei Furth	FU840	92745221132			208754
Bücherei für den Einrich	JR278	71415005068			206430
Bücherei für Stadt und Kreis Uelzen	LA727	33600025025			203821
Bücherei Garath					61137
Bücherei Garmisch	SQ877	91800117117			208598
Bücherei Gemmingen	GF521	81255004034			208044
Bücherei Gerresheim					61138
Bücherei Großburgwedel	HY688	32410004004			203872
Bücherei Großburgwedel	HY688	32410004004			203876
Bücherei Gschwend	GG744	81360027027			207958
Bücherei Hahnbach - Gebenbach	GA638	93715301126			209641
Bücherei Hallig Hooge	LF105	10545459050			203550
Bücherei Heiligkreuz	NF670	91890157157			208661
Bücherei Heiligkreuz	SM067	97630000000			209140
Bücherei Hengersberg	QJ074	92710125125			209938
Bücherei Hermann-Neuton-Paulsen-Schule	LJ258	10545459103			203549
Bücherei Hochdorf/Enz	GF776	81185008012			207658
Bücherei Hoya	HM140	32565409014			203726
Bücherei Hundsmühlen	RP417	34580013013			203596
Bücherei Hörnum/Sylt	LF142	10545439046			203563
Bücherei Ilsfeld	LR691	81255012046			207942
Bücherei im alten Rathaus Giebelstadt	HD797	96795648138			210152
Bücherei im Alten Schulhaus Bad Boll	LR460	81175009012			207820
Bücherei im Bahnhof	HZ255	96790202202			210139
Bücherei im Berchtoldshof	KQ899	81175010051			207816
Bücherei im Bürgerhaus	KR351	81155006046			207598
Bücherei im Bürgerhaus	AD711	81155004002			207600
Bücherei im Christlichen Klinikum Melle	TL786	34590024024			205536
Bücherei im Elisabethenheim	NE495	96630000000			210122
Bücherei im Fohlenhof	FS869	91905180154			209138
Bücherei im FORUM	HE753	84165002006			207743
Bücherei im Gemeinde- und Pfarrzentrum Stockheim	SU755	96735633170			210323
Bücherei im Gemeindehaus	NG819	91795132147			208564
Bücherei im Grampphaus. Evangelische Öffentliche Bücherei Himmelkron	TC234	94770121121			210007
Bücherei im Haus der Begegnung	RN887	31530017017			204648
Bücherei im Kinderkrankenhaus im Diakoniewerk Kaiserswerth	KA449	51110000000			204771
Bücherei im Mehrgenerationenhaus	LB357	65330010010			204390
Bücherei im Münzhof	LR496	84355001030			209230
Bücherei im Neuen Schloss	HK994	71405007144			206334
Bücherei im Pfarrheim	SM033	96710139139			206985
Bücherei im Rathaus Neu Wulmstorf	HG397	33530026026			203374
Bücherei im Schinderhanneshaus	HA930	71415007085			206428
Bücherei im Turm	QT296	34520002002			203635
Bücherei im Wasserschloss	SK715	96790185185			210148
Bücherei in Bauschheim	BA654	64330012012			207119
Bücherei in der Katharina-von-Bora-Schule Oberissigheim	OB123	64350006006			206884
Bücherei in der Kita St. Matthäus	HM343	31590017017			204215
Bücherei in der Melanchthon-Schule Steinatal Willingshausen	NW592	66340026026			204285
Bücherei Istein	HJ771	83360014014			208441
Bücherei Jork	HC689	33590028028			203375
Bücherei Kaiserswerth					61140
Bücherei Kinderhaus Wiesbaden e.V.	WK949	64140000000			207098
Bücherei Kippenheim	KI779	83175007059			208274
Bücherei Kirchheim	SM107	97785758157			209212
Bücherei Kropp	HL652	10595996053			203496
Bücherei Köngen	KR363	81165009035			207838
Bücherei Langenburg	LB745	81275004047			207976
Bücherei Langeneß	LL152	10545459074			203551
Bücherei Lehndorf	HF654	31010000000			204595
Bücherei Leingarten	KR454	81250058058			207926
Bücherei Liebfrauen im Ökumenischen Gemeindezentrum Quellberg	NW762	55620032032			205070
Bücherei Liederbach	HC355	64360010010			207192
Bücherei Limeshain	LD509	64400014014			206935
Bücherei List	LJ271	10545439078			203561
Bücherei Marienhaus	NH368	51130000000			204995
Bücherei Markt Kaufering		91810128128			209121
Bücherei Markt Reisbach	NS347	92790134134			209918
Bücherei Markt Roßtal	JG445	95730125125			209472
Bücherei Martfeld	HN144	32515403026			203730
