?item	?itemLabel	?isil	?gndId	?dbsId
http://www.wikidata.org/entity/Q28720082	Bibliothek des Max-Planck-Instituts für Eisenforschung		CX851
http://www.wikidata.org/entity/Q28720114	Bibliothek des Max-Planck-Instituts für biologische Intelligenz		DD143
http://www.wikidata.org/entity/Q28720141	Bibliothek der Max-Planck-Institute Martinsried		DK522
http://www.wikidata.org/entity/Q28727604	Bibliothek des Fraunhofer-Instituts für Bauphysik		DP199
http://www.wikidata.org/entity/Q28727605	Bibliothek des Fraunhofer-Instituts für Kurzzeitdynamik, Ernst-Mach-Institut		CY272
http://www.wikidata.org/entity/Q28727614	Bibliothek des Fraunhofer-Instituts für Solare Energiesysteme		DN547
http://www.wikidata.org/entity/Q28733464	Bibliothek und Archiv des Deutschen Apotheken-Museums		DB602
http://www.wikidata.org/entity/Q28733473	Erzbischöfliche Bibliothek Freiburg		DL320
http://www.wikidata.org/entity/Q28733482	Archiv der Hansestadt Rostock		EL878
http://www.wikidata.org/entity/Q28733613	Privatbibliothek von Hans Jörg von Graevenitz		DL253
http://www.wikidata.org/entity/Q28733629	Theologische Studienbibliothek Heidelberg (Theologendienst)		DM580
http://www.wikidata.org/entity/Q28733641	Landeskirchliche Bibliothek Kassel		DB857
http://www.wikidata.org/entity/Q28733643	Bibliothek Philosophisch-Theologische Hochschule der Pallottiner		DD817
http://www.wikidata.org/entity/Q28733669	Hochschule für Technik und Wirtschaft Bibliothek Rastpfuhl		DM968
http://www.wikidata.org/entity/Q28733672	Anthropos-Bibliothek		DD568
http://www.wikidata.org/entity/Q28734891	Stiftsbibliothek St. Stephan Augsburg		CW986
http://www.wikidata.org/entity/Q28737662	Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, (AWI), Bibliothek		DN730
http://www.wikidata.org/entity/Q28737667	Max Rubner-Institut, Bibliothek Kiel		DB882
http://www.wikidata.org/entity/Q28737691	Deutsches Institut für tropische und subtropische Landwirtschaft GmbH, Bibliothek		DD957
http://www.wikidata.org/entity/Q28737699	Stiftung Gerhart-Hauptmann-Haus, Deutsch-osteuropäisches Forum, Bibliothek		CZ938
http://www.wikidata.org/entity/Q28737738	Bundesamt für Justiz, Bibliothek		CZ215
http://www.wikidata.org/entity/Q28737743	Bibliothek des Bundesinstituts für Bau-, Stadt- und Raumforschung		CZ276
http://www.wikidata.org/entity/Q28737752	Bischöfliches Seminar und Konvikt Johanneum, Bibliothek		DK984
http://www.wikidata.org/entity/Q28737759	Rheinisches Landesmuseum Trier, Bibliothek		DD751
http://www.wikidata.org/entity/Q28737765	Institut für Arbeitsrecht und Arbeitsbeziehungen in der Europäischen Union, Bibliothek		DN602
http://www.wikidata.org/entity/Q28737800	Heidelberger Kunstverein e.V., Bibliothek		DM610
http://www.wikidata.org/entity/Q28737808	Landtag von Baden-Württemberg, Bibliothek		DD647
http://www.wikidata.org/entity/Q28737824	Regierungspräsidium Tübingen, Ref. 26 Denkmalpflege, Fachbibliothek		DY629
http://www.wikidata.org/entity/Q28737835	Deutscher Caritasverband e.V., Bibliothek		DA695
http://www.wikidata.org/entity/Q28737867	Zoologische Staatssammlung, Bibliothek		DC941
http://www.wikidata.org/entity/Q28737869	Münchner Entomologische Gesellschaft e.V., Bücherei		DE950
http://www.wikidata.org/entity/Q28737872	Bundesamt für Strahlenschutz, Fachbereich Strahlenschutz und Gesundheit, Bibliothek		DK005
http://www.wikidata.org/entity/Q28737888	Bundesanstalt für Arbeitsschutz und Arbeitsmedizin, Wissenschaftliche Information - Fachbibliothek		EA330
http://www.wikidata.org/entity/Q28737892	Deutsches Archäologisches Institut, Eurasien-Abteilung, Bibliothek		EC855
http://www.wikidata.org/entity/Q28737897	Forschungszentrum Europäische Aufklärung e.V., Bibliothek		EC958
http://www.wikidata.org/entity/Q28737899	Bundesamt für Strahlenschutz, Dienststelle Berlin, Bibliothek		EA755
http://www.wikidata.org/entity/Q28737912	Leibniz-Institut für Astrophysik Potsdam (AIP), Bibliothek		EC648
http://www.wikidata.org/entity/Q28737915	IHP GmbH for High Performance Microelectronics / Leibniz-Institut für innovative Mikroelektronik, Bibliothek		ED094
http://www.wikidata.org/entity/Q28737938	Klinikum 'Ernst von Bergmann' gGmbH, Bibliothek		EF686
http://www.wikidata.org/entity/Q28737957	Leibniz-Institut für Nutztierbiologie, Bibliothek		EM718
http://www.wikidata.org/entity/Q28737975	Kreiskliniken Aschersleben-Staßfurt, Medizinische Fachbibliothek		EE566
http://www.wikidata.org/entity/Q28737981	HELIOS Klinik Jerichower Land, Zentralbibliothek		EF029
http://www.wikidata.org/entity/Q28737987	Mansfeld-Museum		EM937
http://www.wikidata.org/entity/Q28738008	AMEOS Klinikum St. Salvator Halberstadt, Bibliothek		EF224
http://www.wikidata.org/entity/Q28738011	WTZ Motoren- und Maschinenforschung Roßlau gGmbH, Fachbibliothek		EQ811
http://www.wikidata.org/entity/Q28738028	Klinikum Dorothea Christiane Erxleben Quedlinburg gGmbH, Fachbibliothek		EQ069
http://www.wikidata.org/entity/Q28738037	Paul Gerhardt Diakonie Krankenhaus u. Pflege GmbH, Medizinische Fachbibliothek		EM408
